Day,Visitors,Total Spent
5/1/2019,530,365
5/2/2019,530,365
5/3/2019,530,365
5/4/2019,511,435
5/5/2019,511,435
5/6/2019,511,435
5/7/2019,514,303
5/8/2019,514,303
5/9/2019,514,303
5/10/2019,545,188
5/11/2019,545,188
5/12/2019,545,188
5/13/2019,579,437
5/14/2019,579,437
5/15/2019,579,437
5/16/2019,615,331
5/17/2019,615,331
5/18/2019,615,331
5/19/2019,664,570
5/20/2019,664,570
5/21/2019,664,570
5/22/2019,850,1176
5/23/2019,850,1176
5/24/2019,850,1176
5/25/2019,801,992
5/26/2019,801,992
5/27/2019,801,992
5/28/2019,853,771
5/29/2019,853,771
5/30/2019,853,771
5/31/2019,872,802
6/1/2019,872,802
6/2/2019,872,802
6/3/2019,1029,988
6/4/2019,1029,988
6/5/2019,1029,988
6/6/2019,1019,1400
6/7/2019,1019,1400
6/8/2019,1019,1400
6/9/2019,1002,806
6/10/2019,1002,806
6/11/2019,1002,806
6/12/2019,1024,843
6/13/2019,1024,843
6/14/2019,1024,843
6/15/2019,1197,1110
6/16/2019,1197,1110
6/17/2019,1197,1110
6/18/2019,1088,883
6/19/2019,1088,883
6/20/2019,1088,883
6/21/2019,1070,769
6/22/2019,1070,769
6/23/2019,1070,769
6/24/2019,1052,864
6/25/2019,1052,864
6/26/2019,1052,864
6/27/2019,1142,430
6/28/2019,1142,430
6/29/2019,1142,430
6/30/2019,1044,884
7/1/2019,1044,884
7/2/2019,1044,884
7/3/2019,965,363
7/4/2019,965,363
7/5/2019,965,363
